CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM220400011123,DURANGO RD,,DURANGO RD,SUNSET,,SUNSET,2022-04-03T00:00:00.000,1308,LAS VEGAS,CLARK,CLARK,667239.536899999,4004479.5361
LVM210800116127,SWENSON ST,UNIVERSITY CENTER DR,SWENSON ST,SIERRA VISTA DR,SIERRA VISTA DR,SIERRA VISTA DR,2021-08-27T00:00:00.000,1625,LAS VEGAS,CLARK,CLARK,666828.721499999,3999622.89279999
HP19-08318,BOULDER HWY N,,BOULDER HWY N,W SUNSET RD,,W SUNSET RD,2019-04-12T00:00:00.000,1851,HENDERSON,CLARK,CLARK,,
LVM210500014829,W SUNSET RD,,W SUNSET RD,S VALLEY VIEW BLVD,,S VALLEY VIEW BLVD,2021-05-04T00:00:00.000,716,LAS VEGAS,CLARK,CLARK,662929.2061,3993422.7155
LVM230500008556,OTHER,W CHARLESTON BLVD,W CHARLESTON BLVD,OTHER,REDWOOD ST,REDWOOD ST,2023-05-02T00:00:00.000,1801,LAS VEGAS,CLARK,CLARK,658373.020299999,4003034.3988
LVM230900071903,N CHRISTY LN,,N CHRISTY LN,OTHER,STEWART AVE,STEWART AVE,2023-09-21T00:00:00.000,423,LAS VEGAS,CLARK,CLARK,675101.1392,4004212.4044
LVM210900124423,S TOWN CENTER DR,,S TOWN CENTER DR,ARBORDALE PL,,ARBORDALE PL,2021-09-29T00:00:00.000,1401,LAS VEGAS,CLARK,CLARK,650697.965499999,4004309.73039999
NHP190501085,OTHER,SAHARA,OTHER,OTHER,BRIDGE LN,OTHER,2019-05-14T00:00:00.000,1719,RENO,CLARK,CLARK,665426.139399999,4001466.2169
HP21-20227,BOULDER HWY,,BOULDER HWY,EQUESTRIAN DR,,EQUESTRIAN DR,2021-10-30T00:00:00.000,1405,HENDERSON,CLARK,CLARK,,
LVM200200126126,S PECOS RD,,S PECOS RD,E HARMON AVE,,E HARMON AVE,2020-02-26T00:00:00.000,1509,LAS VEGAS,CLARK,CLARK,670957.363599999,3997523.2116
